"Sample","Abundance","Phenotype"
"M1_1_MSS",24091.59764,"MSS"
"M1_2_MSS",22934.58578,"MSS"
"M5_1_MSS",10961.56754,"MSS"
"M5_2_MSS",13904.76395,"MSS"
"T49_1_MSS",20599.24568,"MSS"
"T49_2_MSS",20543.32894,"MSS"
"M42_1_PD",4908.624,"PD"
"M42_2_PD",9763.261283,"PD"
"M43_1_PD",56214.81061,"PD"
"M43_2_PD",43827.54032,"PD"
"M64_1_PD",33096.1172,"PD"
"M64_2_PD",32490.5887,"PD"
"M1_1_MSS",54220.10449,"MSS"
"M1_2_MSS",52654.63714,"MSS"
"M5_1_MSS",24666.32017,"MSS"
"M5_2_MSS",44326.77788,"MSS"
"T49_1_MSS",28432.38583,"MSS"
"T49_2_MSS",36805.74254,"MSS"
"M42_1_PD",11930.17547,"PD"
"M42_2_PD",14770.53865,"PD"
"M43_1_PD",41023.14018,"PD"
"M43_2_PD",42107.55026,"PD"
"M64_1_PD",8837.383406,"PD"
"M64_2_PD",2475.984116,"PD"
"M1_1_MSS",90994.4105,"MSS"
"M1_2_MSS",93670.59231,"MSS"
"M5_1_MSS",135611.1264,"MSS"
"M5_2_MSS",206564.2676,"MSS"
"T49_1_MSS",441644.9431,"MSS"
"T49_2_MSS",459334.5008,"MSS"
"M42_1_PD",371627.1031,"PD"
"M42_2_PD",339830.3682,"PD"
"M43_1_PD",860754.5747,"PD"
"M43_2_PD",954378.0716,"PD"
"M64_1_PD",511726.1978,"PD"
"M64_2_PD",428592.3442,"PD"
"M1_1_MSS",31619.01109,"MSS"
"M1_2_MSS",24882.1352,"MSS"
"M5_1_MSS",323507.4335,"MSS"
"M5_2_MSS",519410.0652,"MSS"
"T49_1_MSS",77421.59882,"MSS"
"T49_2_MSS",125756.2219,"MSS"
"M42_1_PD",783561.7678,"PD"
"M42_2_PD",783549.4018,"PD"
"M43_1_PD",832401.9687,"PD"
"M43_2_PD",991181.6992,"PD"
"M64_1_PD",1366745.067,"PD"
"M64_2_PD",1096842.662,"PD"
"M1_1_MSS",35283.40153,"MSS"
"M1_2_MSS",56455.19786,"MSS"
"M5_1_MSS",6655.363145,"MSS"
"M5_2_MSS",11940.91277,"MSS"
"T49_1_MSS",47439.36552,"MSS"
"T49_2_MSS",52475.91524,"MSS"
"M42_1_PD",1555.784039,"PD"
"M42_2_PD",0,"PD"
"M43_1_PD",20761.00193,"PD"
"M43_2_PD",27863.78206,"PD"
"M64_1_PD",13982.75892,"PD"
"M64_2_PD",10858.69704,"PD"
"M1_1_MSS",66281.69607,"MSS"
"M1_2_MSS",60036.02555,"MSS"
"M5_1_MSS",22890.98417,"MSS"
"M5_2_MSS",28113.8816,"MSS"
"T49_1_MSS",15371.95601,"MSS"
"T49_2_MSS",13142.29942,"MSS"
"M42_1_PD",27849.03016,"PD"
"M42_2_PD",15813.55034,"PD"
"M43_1_PD",24957.11041,"PD"
"M43_2_PD",23908.72155,"PD"
"M64_1_PD",17450.18063,"PD"
"M64_2_PD",5296.030694,"PD"
"M1_1_MSS",603702.558,"MSS"
"M1_2_MSS",696497.6404,"MSS"
"M5_1_MSS",430420.6225,"MSS"
"M5_2_MSS",245296.5009,"MSS"
"T49_1_MSS",1196841.461,"MSS"
"T49_2_MSS",1315983.142,"MSS"
"M42_1_PD",960744.8115,"PD"
"M42_2_PD",1011204.222,"PD"
"M43_1_PD",724029.0014,"PD"
"M43_2_PD",803630.2611,"PD"
"M64_1_PD",879112.1847,"PD"
"M64_2_PD",804984.0715,"PD"
"M1_1_MSS",507032.6273,"MSS"
"M1_2_MSS",451624.7181,"MSS"
"M5_1_MSS",81369.12063,"MSS"
"M5_2_MSS",83425.97312,"MSS"
"T49_1_MSS",188646.3601,"MSS"
"T49_2_MSS",194220.0949,"MSS"
"M42_1_PD",99308.74253,"PD"
"M42_2_PD",85398.08116,"PD"
"M43_1_PD",762946.2206,"PD"
"M43_2_PD",991629.595,"PD"
"M64_1_PD",98939.43741,"PD"
"M64_2_PD",77251.10288,"PD"
"M1_1_MSS",1450453.716,"MSS"
"M1_2_MSS",1368930.968,"MSS"
"M5_1_MSS",492903.5496,"MSS"
"M5_2_MSS",553722.7726,"MSS"
"T49_1_MSS",632885.319,"MSS"
"T49_2_MSS",637996.9113,"MSS"
"M42_1_PD",421341.6124,"PD"
"M42_2_PD",345175.1105,"PD"
"M43_1_PD",231895.1798,"PD"
"M43_2_PD",285687.1592,"PD"
"M64_1_PD",401758.9418,"PD"
"M64_2_PD",312601.599,"PD"
"M1_1_MSS",105405.1036,"MSS"
"M1_2_MSS",91393.21725,"MSS"
"M5_1_MSS",51436.73352,"MSS"
"M5_2_MSS",79101.85801,"MSS"
"T49_1_MSS",127149.4738,"MSS"
"T49_2_MSS",112628.2131,"MSS"
"M42_1_PD",8113.02618,"PD"
"M42_2_PD",13598.64836,"PD"
"M43_1_PD",71671.85138,"PD"
"M43_2_PD",91512.30698,"PD"
"M64_1_PD",23517.86728,"PD"
"M64_2_PD",16850.95362,"PD"
"M1_1_MSS",20208.5321,"MSS"
"M1_2_MSS",10709.40379,"MSS"
"M5_1_MSS",1607.156595,"MSS"
"M5_2_MSS",7847.083328,"MSS"
"T49_1_MSS",50869.19536,"MSS"
"T49_2_MSS",33662.2193,"MSS"
"M42_1_PD",6863.843533,"PD"
"M42_2_PD",2989.919291,"PD"
"M43_1_PD",12561.55337,"PD"
"M43_2_PD",15538.2547,"PD"
"M64_1_PD",10887.77595,"PD"
"M64_2_PD",4621.506718,"PD"
"M1_1_MSS",220608.7705,"MSS"
"M1_2_MSS",221086.7662,"MSS"
"M5_1_MSS",128529.3588,"MSS"
"M5_2_MSS",194557.041,"MSS"
"T49_1_MSS",366478.519,"MSS"
"T49_2_MSS",265132.0619,"MSS"
"M42_1_PD",70066.08653,"PD"
"M42_2_PD",45805.0203,"PD"
"M43_1_PD",144540.3578,"PD"
"M43_2_PD",143043.4357,"PD"
"M64_1_PD",127173.3943,"PD"
"M64_2_PD",75614.31995,"PD"
"M1_1_MSS",144928.1047,"MSS"
"M1_2_MSS",171151.2319,"MSS"
"M5_1_MSS",184515.7821,"MSS"
"M5_2_MSS",253724.4649,"MSS"
"T49_1_MSS",436600.223,"MSS"
"T49_2_MSS",346865.5791,"MSS"
"M42_1_PD",57903.59483,"PD"
"M42_2_PD",44097.86347,"PD"
"M43_1_PD",110989.3664,"PD"
"M43_2_PD",76089.19413,"PD"
"M64_1_PD",201980.0476,"PD"
"M64_2_PD",155628.8619,"PD"
"M1_1_MSS",0,"MSS"
"M1_2_MSS",0,"MSS"
"M5_1_MSS",0,"MSS"
"M5_2_MSS",892.3845095,"MSS"
"T49_1_MSS",2634.684091,"MSS"
"T49_2_MSS",0,"MSS"
"M42_1_PD",0,"PD"
"M42_2_PD",0,"PD"
"M43_1_PD",0,"PD"
"M43_2_PD",0,"PD"
"M64_1_PD",0,"PD"
"M64_2_PD",0,"PD"
"M1_1_MSS",0,"MSS"
"M1_2_MSS",0,"MSS"
"M5_1_MSS",0,"MSS"
"M5_2_MSS",0,"MSS"
"T49_1_MSS",0,"MSS"
"T49_2_MSS",0,"MSS"
"M42_1_PD",0,"PD"
"M42_2_PD",0,"PD"
"M43_1_PD",454.5711218,"PD"
"M43_2_PD",3630.108098,"PD"
"M64_1_PD",0,"PD"
"M64_2_PD",0,"PD"
"M1_1_MSS",37933.47775,"MSS"
"M1_2_MSS",34805.22421,"MSS"
"M5_1_MSS",27630.88007,"MSS"
"M5_2_MSS",40050.7637,"MSS"
"T49_1_MSS",11769.86774,"MSS"
"T49_2_MSS",9642.435128,"MSS"
"M42_1_PD",821.6254512,"PD"
"M42_2_PD",893.3452017,"PD"
"M43_1_PD",88140.39491,"PD"
"M43_2_PD",80338.45871,"PD"
"M64_1_PD",28460.35436,"PD"
"M64_2_PD",35274.22665,"PD"
"M1_1_MSS",23780.07342,"MSS"
"M1_2_MSS",22481.52003,"MSS"
"M5_1_MSS",35806.58742,"MSS"
"M5_2_MSS",72036.11976,"MSS"
"T49_1_MSS",102482.8315,"MSS"
"T49_2_MSS",97615.91592,"MSS"
"M42_1_PD",45791.27639,"PD"
"M42_2_PD",19203.07752,"PD"
"M43_1_PD",27143.35243,"PD"
"M43_2_PD",4511.133883,"PD"
"M64_1_PD",127346.8476,"PD"
"M64_2_PD",147958.7518,"PD"
"M1_1_MSS",51897.55883,"MSS"
"M1_2_MSS",52190.9207,"MSS"
"M5_1_MSS",49358.79643,"MSS"
"M5_2_MSS",83235.50768,"MSS"
"T49_1_MSS",179730.9285,"MSS"
"T49_2_MSS",145714.0077,"MSS"
"M42_1_PD",63776.17906,"PD"
"M42_2_PD",45198.2397,"PD"
"M43_1_PD",169719.927,"PD"
"M43_2_PD",193353.4976,"PD"
"M64_1_PD",95121.69268,"PD"
"M64_2_PD",78522.62929,"PD"
"M1_1_MSS",17556.91034,"MSS"
"M1_2_MSS",15833.10831,"MSS"
"M5_1_MSS",17383.90884,"MSS"
"M5_2_MSS",14354.92756,"MSS"
"T49_1_MSS",1754.696736,"MSS"
"T49_2_MSS",0,"MSS"
"M42_1_PD",0,"PD"
"M42_2_PD",0,"PD"
"M43_1_PD",567.3569865,"PD"
"M43_2_PD",2765.593355,"PD"
"M64_1_PD",9902.380187,"PD"
"M64_2_PD",2619.566916,"PD"
"M1_1_MSS",20698.54058,"MSS"
"M1_2_MSS",24422.59943,"MSS"
"M5_1_MSS",36731.38519,"MSS"
"M5_2_MSS",54020.78974,"MSS"
"T49_1_MSS",41957.47652,"MSS"
"T49_2_MSS",26130.69592,"MSS"
"M42_1_PD",23068.16579,"PD"
"M42_2_PD",8585.48549,"PD"
"M43_1_PD",8517.197614,"PD"
"M43_2_PD",8135.88064,"PD"
"M64_1_PD",16766.04376,"PD"
"M64_2_PD",19493.85361,"PD"
"M1_1_MSS",3419.332779,"MSS"
"M1_2_MSS",3962.784732,"MSS"
"M5_1_MSS",6376.067897,"MSS"
"M5_2_MSS",9450.49912,"MSS"
"T49_1_MSS",10340.38413,"MSS"
"T49_2_MSS",6246.004547,"MSS"
"M42_1_PD",32483.33598,"PD"
"M42_2_PD",5695.741181,"PD"
"M43_1_PD",2352.581104,"PD"
"M43_2_PD",1946.150599,"PD"
"M64_1_PD",16392.04807,"PD"
"M64_2_PD",9396.718789,"PD"
"M1_1_MSS",0,"MSS"
"M1_2_MSS",2575.666388,"MSS"
"M5_1_MSS",844.2712743,"MSS"
"M5_2_MSS",2392.944523,"MSS"
"T49_1_MSS",2850.976359,"MSS"
"T49_2_MSS",4917.520722,"MSS"
"M42_1_PD",1253.405291,"PD"
"M42_2_PD",0,"PD"
"M43_1_PD",9551.644424,"PD"
"M43_2_PD",11547.85913,"PD"
"M64_1_PD",4928.354224,"PD"
"M64_2_PD",52.08952447,"PD"
"M1_1_MSS",553.337616,"MSS"
"M1_2_MSS",0,"MSS"
"M5_1_MSS",0,"MSS"
"M5_2_MSS",0,"MSS"
"T49_1_MSS",1843.296991,"MSS"
"T49_2_MSS",0,"MSS"
"M42_1_PD",0,"PD"
"M42_2_PD",0,"PD"
"M43_1_PD",25705.40258,"PD"
"M43_2_PD",29351.25133,"PD"
"M64_1_PD",0,"PD"
"M64_2_PD",0,"PD"
"M1_1_MSS",0,"MSS"
"M1_2_MSS",0,"MSS"
"M5_1_MSS",0,"MSS"
"M5_2_MSS",1.866805865,"MSS"
"T49_1_MSS",6012.553584,"MSS"
"T49_2_MSS",0,"MSS"
"M42_1_PD",1.049941186,"PD"
"M42_2_PD",0,"PD"
"M43_1_PD",45606.15364,"PD"
"M43_2_PD",46042.17152,"PD"
"M64_1_PD",1509.513736,"PD"
"M64_2_PD",2799.903821,"PD"
"M1_1_MSS",9978.404675,"MSS"
"M1_2_MSS",3341.926436,"MSS"
"M5_1_MSS",12621.38618,"MSS"
"M5_2_MSS",18994.98574,"MSS"
"T49_1_MSS",33915.49155,"MSS"
"T49_2_MSS",31150.1347,"MSS"
"M42_1_PD",11783.07585,"PD"
"M42_2_PD",9702.647194,"PD"
"M43_1_PD",11360.35264,"PD"
"M43_2_PD",7762.391543,"PD"
"M64_1_PD",52309.76136,"PD"
"M64_2_PD",55649.5085,"PD"
"M1_1_MSS",0,"MSS"
"M1_2_MSS",1529.872818,"MSS"
"M5_1_MSS",0,"MSS"
"M5_2_MSS",0,"MSS"
"T49_1_MSS",4889.347988,"MSS"
"T49_2_MSS",7294.802173,"MSS"
"M42_1_PD",1692.787574,"PD"
"M42_2_PD",0,"PD"
"M43_1_PD",9564.045639,"PD"
"M43_2_PD",15883.03923,"PD"
"M64_1_PD",11037.03665,"PD"
"M64_2_PD",8520.468212,"PD"
"M1_1_MSS",1038.015259,"MSS"
"M1_2_MSS",0,"MSS"
"M5_1_MSS",0,"MSS"
"M5_2_MSS",0,"MSS"
"T49_1_MSS",1338.072219,"MSS"
"T49_2_MSS",0,"MSS"
"M42_1_PD",0,"PD"
"M42_2_PD",0,"PD"
"M43_1_PD",15596.94426,"PD"
"M43_2_PD",10378.15049,"PD"
"M64_1_PD",2764.224332,"PD"
"M64_2_PD",0,"PD"
"M1_1_MSS",141174.0803,"MSS"
"M1_2_MSS",128309.3468,"MSS"
"M5_1_MSS",43100.33254,"MSS"
"M5_2_MSS",109039.6038,"MSS"
"T49_1_MSS",178136.4677,"MSS"
"T49_2_MSS",148963.8438,"MSS"
"M42_1_PD",134954.9094,"PD"
"M42_2_PD",109465.7525,"PD"
"M43_1_PD",159519.2364,"PD"
"M43_2_PD",139697.2091,"PD"
"M64_1_PD",212340.8103,"PD"
"M64_2_PD",140096.8531,"PD"
"M1_1_MSS",57808.47804,"MSS"
"M1_2_MSS",31739.20716,"MSS"
"M5_1_MSS",48438.35756,"MSS"
"M5_2_MSS",60327.91505,"MSS"
"T49_1_MSS",133323.7285,"MSS"
"T49_2_MSS",87844.99053,"MSS"
"M42_1_PD",61176.1802,"PD"
"M42_2_PD",56672.8759,"PD"
"M43_1_PD",70211.85447,"PD"
"M43_2_PD",65559.56059,"PD"
"M64_1_PD",121841.1615,"PD"
"M64_2_PD",114194.4185,"PD"
"M1_1_MSS",78672.14573,"MSS"
"M1_2_MSS",61628.93191,"MSS"
"M5_1_MSS",65082.99352,"MSS"
"M5_2_MSS",66425.60749,"MSS"
"T49_1_MSS",35628.67992,"MSS"
"T49_2_MSS",28299.77609,"MSS"
"M42_1_PD",31110.79945,"PD"
"M42_2_PD",17041.8592,"PD"
"M43_1_PD",142531.6171,"PD"
"M43_2_PD",131971.6962,"PD"
"M64_1_PD",68150.92789,"PD"
"M64_2_PD",95280.92504,"PD"
"M1_1_MSS",19416.14787,"MSS"
"M1_2_MSS",24666.62203,"MSS"
"M5_1_MSS",43547.11602,"MSS"
"M5_2_MSS",56449.60441,"MSS"
"T49_1_MSS",85757.25698,"MSS"
"T49_2_MSS",69730.81868,"MSS"
"M42_1_PD",205254.657,"PD"
"M42_2_PD",114642.2927,"PD"
"M43_1_PD",29888.70488,"PD"
"M43_2_PD",16940.98402,"PD"
"M64_1_PD",208781.6916,"PD"
"M64_2_PD",137054.8427,"PD"
"M1_1_MSS",78694.74669,"MSS"
"M1_2_MSS",77900.47476,"MSS"
"M5_1_MSS",244909.1675,"MSS"
"M5_2_MSS",271164.447,"MSS"
"T49_1_MSS",272908.3842,"MSS"
"T49_2_MSS",231358.7119,"MSS"
"M42_1_PD",460923.1095,"PD"
"M42_2_PD",225195.9842,"PD"
"M43_1_PD",193619.0443,"PD"
"M43_2_PD",127794.1028,"PD"
"M64_1_PD",427655.2661,"PD"
"M64_2_PD",222257.3626,"PD"
"M1_1_MSS",214609.9456,"MSS"
"M1_2_MSS",338006.7668,"MSS"
"M5_1_MSS",249939.7111,"MSS"
"M5_2_MSS",290025.3851,"MSS"
"T49_1_MSS",187552.6545,"MSS"
"T49_2_MSS",274307.2357,"MSS"
"M42_1_PD",204144.8149,"PD"
"M42_2_PD",285921.7027,"PD"
"M43_1_PD",347893.8174,"PD"
"M43_2_PD",351763.1272,"PD"
"M64_1_PD",212497.0337,"PD"
"M64_2_PD",216379.1143,"PD"
"M1_1_MSS",18690.43398,"MSS"
"M1_2_MSS",25117.71187,"MSS"
"M5_1_MSS",25848.84873,"MSS"
"M5_2_MSS",31799.35872,"MSS"
"T49_1_MSS",20384.07548,"MSS"
"T49_2_MSS",20910.04964,"MSS"
"M42_1_PD",96382.23294,"PD"
"M42_2_PD",72153.30219,"PD"
"M43_1_PD",12233.98753,"PD"
"M43_2_PD",7931.434134,"PD"
"M64_1_PD",52188.89171,"PD"
"M64_2_PD",39716.74812,"PD"
"M1_1_MSS",24163.98519,"MSS"
"M1_2_MSS",24432.29575,"MSS"
"M5_1_MSS",7677.862294,"MSS"
"M5_2_MSS",27031.54334,"MSS"
"T49_1_MSS",3538.672468,"MSS"
"T49_2_MSS",1741.629409,"MSS"
"M42_1_PD",2882.713195,"PD"
"M42_2_PD",722.4620104,"PD"
"M43_1_PD",7741.97134,"PD"
"M43_2_PD",4308.234795,"PD"
"M64_1_PD",3028.150262,"PD"
"M64_2_PD",3215.523796,"PD"
"M1_1_MSS",46956.88686,"MSS"
"M1_2_MSS",37625.83124,"MSS"
"M5_1_MSS",38946.07773,"MSS"
"M5_2_MSS",42038.00423,"MSS"
"T49_1_MSS",31275.79691,"MSS"
"T49_2_MSS",19876.60046,"MSS"
"M42_1_PD",3850.755469,"PD"
"M42_2_PD",4619.32638,"PD"
"M43_1_PD",68871.80907,"PD"
"M43_2_PD",59296.69053,"PD"
"M64_1_PD",27666.70121,"PD"
"M64_2_PD",24911.45262,"PD"
"M1_1_MSS",133653.0782,"MSS"
"M1_2_MSS",150236.3357,"MSS"
"M5_1_MSS",82796.59824,"MSS"
"M5_2_MSS",100783.1344,"MSS"
"T49_1_MSS",105304.3055,"MSS"
"T49_2_MSS",111965.2243,"MSS"
"M42_1_PD",47706.19009,"PD"
"M42_2_PD",50774.88349,"PD"
"M43_1_PD",361520.2628,"PD"
"M43_2_PD",371237.3481,"PD"
"M64_1_PD",145545.7107,"PD"
"M64_2_PD",171187.0091,"PD"
"M1_1_MSS",289567.9469,"MSS"
"M1_2_MSS",275792.6756,"MSS"
"M5_1_MSS",280133.7666,"MSS"
"M5_2_MSS",282701.5382,"MSS"
"T49_1_MSS",403868.615,"MSS"
"T49_2_MSS",393727.4127,"MSS"
"M42_1_PD",315537.4162,"PD"
"M42_2_PD",281952.014,"PD"
"M43_1_PD",211154.0582,"PD"
"M43_2_PD",220036.7357,"PD"
"M64_1_PD",170712.8894,"PD"
"M64_2_PD",185848.6961,"PD"
"M1_1_MSS",5485.323463,"MSS"
"M1_2_MSS",3077.285121,"MSS"
"M5_1_MSS",5136.262626,"MSS"
"M5_2_MSS",13581.59159,"MSS"
"T49_1_MSS",31022.48538,"MSS"
"T49_2_MSS",43457.63378,"MSS"
"M42_1_PD",35941.74034,"PD"
"M42_2_PD",22007.17163,"PD"
"M43_1_PD",74709.84838,"PD"
"M43_2_PD",79244.41029,"PD"
"M64_1_PD",55931.6285,"PD"
"M64_2_PD",7968.154537,"PD"
"M1_1_MSS",50821.96423,"MSS"
"M1_2_MSS",42290.55488,"MSS"
"M5_1_MSS",19795.97411,"MSS"
"M5_2_MSS",63590.72326,"MSS"
"T49_1_MSS",23797.81072,"MSS"
"T49_2_MSS",25819.86516,"MSS"
"M42_1_PD",79267.08747,"PD"
"M42_2_PD",90647.1496,"PD"
"M43_1_PD",178039.1371,"PD"
"M43_2_PD",209013.9651,"PD"
"M64_1_PD",91566.46736,"PD"
"M64_2_PD",64974.17314,"PD"
"M1_1_MSS",133146.1896,"MSS"
"M1_2_MSS",136376.5682,"MSS"
"M5_1_MSS",244723.6796,"MSS"
"M5_2_MSS",173157.5032,"MSS"
"T49_1_MSS",46945.04681,"MSS"
"T49_2_MSS",73801.45356,"MSS"
"M42_1_PD",46495.76022,"PD"
"M42_2_PD",35527.90891,"PD"
"M43_1_PD",116009.0854,"PD"
"M43_2_PD",127619.5148,"PD"
"M64_1_PD",147245.575,"PD"
"M64_2_PD",143861.2129,"PD"
"M1_1_MSS",21559.19913,"MSS"
"M1_2_MSS",31512.45156,"MSS"
"M5_1_MSS",31930.50063,"MSS"
"M5_2_MSS",43101.91841,"MSS"
"T49_1_MSS",33441.29588,"MSS"
"T49_2_MSS",60404.33121,"MSS"
"M42_1_PD",40930.10372,"PD"
"M42_2_PD",49621.55048,"PD"
"M43_1_PD",124856.7351,"PD"
"M43_2_PD",129740.5375,"PD"
"M64_1_PD",86731.58575,"PD"
"M64_2_PD",68629.14377,"PD"
"M1_1_MSS",470390.4703,"MSS"
"M1_2_MSS",495868.4878,"MSS"
"M5_1_MSS",748783.7957,"MSS"
"M5_2_MSS",809435.909,"MSS"
"T49_1_MSS",656192.8778,"MSS"
"T49_2_MSS",537623.552,"MSS"
"M42_1_PD",446479.5465,"PD"
"M42_2_PD",447245.9886,"PD"
"M43_1_PD",175192.8435,"PD"
"M43_2_PD",210113.2183,"PD"
"M64_1_PD",390947.9474,"PD"
"M64_2_PD",341954.1715,"PD"
"M1_1_MSS",0,"MSS"
"M1_2_MSS",0,"MSS"
"M5_1_MSS",0,"MSS"
"M5_2_MSS",0,"MSS"
"T49_1_MSS",0,"MSS"
"T49_2_MSS",1284.111078,"MSS"
"M42_1_PD",12763.58505,"PD"
"M42_2_PD",11868.85493,"PD"
"M43_1_PD",22424.07791,"PD"
